City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Harbin,CN,2023-01-25 00:53:33,45.75,126.65,-11.25,81,100,7.09
253,Tortoli,IT,2023-01-25 00:53:33,39.9256,9.6572,47.28,90,100,8.46
254,Ust-Omchug,RU,2023-01-25 00:53:34,61.15,149.6333,-17.09,97,100,6.8
255,Castro,BR,2023-01-25 00:53:34,-24.7911,-50.0119,65.43,61,2,2.46
256,Simpang,ID,2023-01-25 00:53:34,-1.2667,104.0833,75.36,89,100,4.56
257,Poum,NC,2023-01-25 00:53:35,-20.2333,164.0167,82.53,75,17,5.14
258,Chengde,CN,2023-01-25 00:53:35,40.9725,117.9361,-2.06,70,9,1.39
259,Hambantota,LK,2023-01-25 00:53:35,6.1241,81.1185,70.14,100,20,1.14
260,Kanbe,MM,2023-01-25 00:53:36,16.7053,96.0017,69.85,44,11,4.94
261,Namibe,AO,2023-01-25 00:53:36,-15.1961,12.1522,74.48,83,21,1.79
262,Vung Tau,VN,2023-01-25 00:53:36,10.346,107.0843,75.33,72,100,6.02
263,Mecca,SA,2023-01-25 00:51:26,21.4267,39.8261,70.61,75,24,1.97
264,Waltrop,DE,2023-01-25 00:53:37,51.6333,7.4,33.26,77,100,0.0
265,Broome,US,2023-01-25 00:50:06,42.2506,-75.833,31.19,74,100,8.05
266,Bowen,AU,2023-01-25 00:53:37,-20.0167,148.2333,82.13,66,18,11.48
267,Vitim,RU,2023-01-25 00:53:37,59.4511,112.5578,-16.8,90,100,5.32
268,Diffa,NE,2023-01-25 00:53:38,13.3154,12.6113,70.93,14,42,9.08
269,Binghamton,US,2023-01-25 00:52:28,42.0987,-75.918,31.32,80,100,8.05
270,Buraydah,SA,2023-01-25 00:53:38,26.326,43.975,54.05,80,20,9.78
271,Sao Filipe,CV,2023-01-25 00:53:39,14.8961,-24.4956,70.02,68,100,2.26
272,Atar,MR,2023-01-25 00:53:39,20.5169,-13.0499,69.03,16,13,7.34
273,Yenagoa,NG,2023-01-25 00:53:39,4.9247,6.2642,78.35,87,0,3.2
274,North Bend,US,2023-01-25 00:53:40,43.4065,-124.2243,50.16,90,0,16.11
275,Bilibino,RU,2023-01-25 00:54:40,68.0546,166.4372,-12.73,72,100,4.14
276,Raudeberg,NO,2023-01-25 00:54:40,61.9875,5.1352,47.86,36,100,38.48
277,Usinsk,RU,2023-01-25 00:54:40,65.9939,57.5281,12.13,94,100,16.11
278,San Cristobal,VE,2023-01-25 00:52:45,7.7669,-72.225,71.78,76,97,1.81
279,Thompson,CA,2023-01-25 00:54:41,55.7435,-97.8558,-7.44,77,75,4.61
280,Puerto Escondido,MX,2023-01-25 00:54:41,15.85,-97.0667,77.2,78,5,7.85
281,Bilma,NE,2023-01-25 00:54:42,18.6853,12.9164,70.07,12,0,6.42
282,Geraldton,AU,2023-01-25 00:54:42,-28.7667,114.6,77.41,65,0,10.36
283,Asekeyevo,RU,2023-01-25 00:54:42,53.5742,52.7972,-7.17,100,100,2.95
284,Klaksvik,FO,2023-01-25 00:52:34,62.2266,-6.589,47.32,81,42,29.3
285,Karratha,AU,2023-01-25 00:50:52,-20.7377,116.8463,87.73,56,97,2.21
286,Ekibastuz,KZ,2023-01-25 00:54:43,51.6667,75.3667,11.32,88,100,17.43
287,Zhigansk,RU,2023-01-25 00:54:43,66.7697,123.3711,-41.89,94,100,7.05
288,Natal,BR,2023-01-25 00:52:59,-5.795,-35.2094,79.45,73,40,11.5
289,Akyab,MM,2023-01-25 00:54:44,20.15,92.9,65.48,57,4,7.4
290,Pevek,RU,2023-01-25 00:54:44,69.7008,170.3133,-14.08,76,64,1.59
291,Kamenka,RU,2023-01-25 00:54:44,51.3223,42.7678,14.09,90,11,3.8
292,Jasper,US,2023-01-25 00:54:45,37.2001,-94.3502,35.06,91,100,1.01
293,Solnechnogorsk,RU,2023-01-25 00:54:45,56.1833,36.9833,28.24,97,76,4.29
